tile_name,pixel_x,pixel_y,center_x,center_y,longitude,latitude,distance_from_center,match_confidence,main_image
tile_67.tif,2560,3840,2880,4160,-82.73371446096654,27.53198785448752,1907.1282075413808,0.998060703277588,20241011aC0824415w273215n.tif
tile_145.tif,5760,5760,6080,6080,-82.72939794476899,27.529397944768984,1941.7152211382595,0.9984987378120422,20241011aC0824415w273215n.tif
tile_125.tif,5120,2560,5440,2880,-82.7302612480085,27.533714460966543,1968.5573397795656,0.9221458435058594,20241011aC0824415w273215n.tif
tile_69.tif,2560,5120,2880,5440,-82.73371446096654,27.530261248008497,1968.5573397795656,0.9984273314476012,20241011aC0824415w273215n.tif
tile_158.tif,6400,4480,6720,4800,-82.72853464152948,27.53112455124801,2015.147141029657,0.9973613619804382,20241011aC0824415w273215n.tif
tile_116.tif,4480,6400,4800,6720,-82.73112455124802,27.528534641529475,2015.147141029657,0.9982987642288208,20241011aC0824415w273215n.tif
tile_157.tif,6400,3840,6720,4160,-82.72853464152948,27.53198785448752,2085.9956855180694,0.9935734272003174,20241011aC0824415w273215n.tif
tile_101.tif,3840,6400,4160,6720,-82.73198785448753,27.528534641529475,2085.9956855180694,0.9974707365036012,20241011aC0824415w273215n.tif
tile_131.tif,5120,6400,5440,6720,-82.7302612480085,27.528534641529475,2142.3020328609127,0.9986423254013062,20241011aC0824415w273215n.tif
tile_159.tif,6400,5120,6720,5440,-82.72853464152948,27.530261248008497,2142.3020328609127,0.9980592131614684,20241011aC0824415w273215n.tif
tile_80.tif,3200,2560,3520,2880,-82.73285115772704,27.533714460966543,2178.7377079400817,0.998023509979248,20241011aC0824415w273215n.tif
tile_66.tif,2560,3200,2880,3520,-82.73371446096654,27.53285115772703,2178.7377079400817,0.9979920387268066,20241011aC0824415w273215n.tif
tile_120.tif,5108,6448,5428,6768,-82.73027743494424,27.52846989378651,2183.474753689632,0.4307196140289306,20241011aC0824415w273215n.tif
tile_223.tif,3468,6379,3788,6699,-82.73248964949549,27.52856296866702,2193.769586807147,0.4866105616092682,20241011aC0824415w273215n.tif
tile_60.tif,5131,6451,5451,6771,-82.73024640998408,27.528465847052576,2193.9990884227823,0.4671747088432312,20241011aC0824415w273215n.tif
tile_135.tif,2254,3594,2574,3914,-82.73412722782794,27.532319686670206,2275.640129721745,0.557108998298645,20241011aC0824415w273215n.tif
tile_70.tif,2560,5760,2880,6080,-82.73371446096654,27.529397944768984,2285.401058895353,0.9987820982933044,20241011aC0824415w273215n.tif
tile_140.tif,5760,2560,6080,2880,-82.72939794476899,27.533714460966543,2285.401058895353,0.9412432312965392,20241011aC0824415w273215n.tif
tile_30.tif,2219,3572,2539,3892,-82.73417443972384,27.532349362719067,2316.128018914326,0.468186616897583,20241011aC0824415w273215n.tif
tile_180.tif,2213,3579,2533,3899,-82.73418253319171,27.532339920339883,2319.297307375663,0.3716290295124054,20241011aC0824415w273215n.tif
tile_225.tif,2218,3554,2538,3874,-82.73417578863516,27.53237364312268,2323.45647688955,0.5235921740531921,20241011aC0824415w273215n.tif
tile_156.tif,6400,3200,6720,3520,-82.72853464152948,27.53285115772703,2336.907785942783,0.9939207434654236,20241011aC0824415w273215n.tif
tile_86.tif,3200,6400,3520,6720,-82.73285115772704,27.528534641529475,2336.907785942783,0.9976738095283508,20241011aC0824415w273215n.tif
tile_222.tif,4876,2058,5196,2378,-82.73059038236856,27.534391614445035,2379.7819227820014,0.4990629255771637,20241011aC0824415w273215n.tif
tile_146.tif,5760,6400,6080,6720,-82.72939794476899,27.528534641529475,2436.6571363242715,0.9986775517463684,20241011aC0824415w273215n.tif
tile_160.tif,6400,5760,6720,6080,-82.72853464152948,27.529397944768984,2436.6571363242715,0.9983895421028136,20241011aC0824415w273215n.tif
tile_109.tif,4480,1920,4800,2240,-82.73112455124802,27.534577764206052,2468.7523164546096,0.9660749435424804,20241011aC0824415w273215n.tif
tile_53.tif,1920,4480,2240,4800,-82.73457776420605,27.53112455124801,2468.7523164546096,0.9992069602012634,20241011aC0824415w273215n.tif
tile_220.tif,1904,4350,2224,4670,-82.73459934678705,27.53129990971853,2483.275659285533,0.4313604533672333,20241011aC0824415w273215n.tif
tile_90.tif,2039,3565,2359,3885,-82.73441724375996,27.532358805098248,2487.7274770360195,0.4456201195716858,20241011aC0824415w273215n.tif
tile_45.tif,2038,3556,2358,3876,-82.73441859267128,27.53237094530005,2491.658483821569,0.4727146923542022,20241011aC0824415w273215n.tif
tile_195.tif,2028,3576,2348,3896,-82.73443208178439,27.532343967073817,2494.51438159815,0.4457992315292358,20241011aC0824415w273215n.tif
